N, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,229,122
2,113,60
3,74,40
4,57,30
5,45,24
6,37,20
7,32,17
8,28,15
9,25,13
10,23,12
11,21,11
12,19,10
13,17,10
14,16,9
15,15,8
16,14,8
17,13,8
18,13,7
19,12,7
20,11,7
21,11,7
22,10,6
23,10,6
24,9,6
25,9,6
26,9,6
27,8,5
28,8,5
29,8,5
30,7,5
31,7,5
32,7,5
33,7,4
34,7,4
35,6,4
36,6,4
37,6,4
38,6,4
39,6,4
40,6,4
41,6,4
42,5,4
43,5,4
44,5,4
45,5,3
46,5,3
47,5,3
48,5,3
49,5,3
50,5,3
51,4,3
52,4,3
53,4,3
54,4,3
55,4,3
56,4,3
57,4,3
58,4,3
59,4,3
60,4,3
61,4,3
62,4,3
63,4,3
64,4,3
65,3,3
66,3,2
67,3,2
68,3,2
69,3,2
70,3,2
71,3,2
72,3,2
73,3,2
74,3,2
75,3,2
76,3,2
77,3,2
78,3,2
79,3,2
80,3,2
81,3,2
82,3,2
83,3,2
84,3,2
85,3,2
86,3,2
87,3,2
88,3,2
89,3,2
90,3,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,1
120,2,1
121,2,2
122,2,1
123,2,1
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,2,1
130,2,1
131,2,1
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,2,1
150,2,1
151,2,1
152,2,1
153,2,1
154,2,1
155,2,1
156,2,1
157,2,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
