NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,2,2
3,5,5
4,8,7
5,11,10
6,14,12
7,17,14
8,21,16
9,25,18
10,29,20
11,33,22
12,37,24
13,40,27
14,45,29
15,49,31
16,54,33
17,58,35
18,62,37
19,67,39
20,72,41
21,76,43
22,81,45
23,85,47
24,90,49
25,95,52
26,100,54
27,104,56
28,109,58
29,115,60
30,118,62
31,125,64
32,130,67
33,134,69
34,140,71
35,145,73
36,149,75
37,155,77
38,161,79
39,165,81
40,171,83
41,177,85
42,181,87
43,186,90
44,192,92
45,199,94
46,204,96
47,209,98
48,215,100
49,219,102
50,225,104
51,230,106
52,235,108
53,240,110
54,246,112
55,254,115
56,258,117
57,263,119
58,268,121
59,273,123
60,283,125
61,287,128
62,293,129
63,296,131
64,303,134
65,309,136
66,315,138
67,320,140
68,328,142
69,331,144
70,338,146
71,343,148
72,349,151
73,356,153
74,361,155
75,367,157
76,373,159
77,379,161
78,387,163
79,388,165
80,397,167
81,405,169
82,408,171
83,414,174
84,420,175
85,429,178
86,432,180
87,440,182
88,444,184
89,451,186
90,454,188
91,462,190
92,469,192
93,475,195
94,482,197
95,487,199
96,497,201
97,500,203
98,507,205
99,513,207
100,516,209
101,526,211
102,529,214
103,534,216
104,544,218
105,551,220
106,555,222
107,563,224
108,568,226
109,573,228
110,578,230
111,589,233
112,597,234
113,599,237
114,604,239
115,611,241
116,617,243
117,627,245
118,634,247
119,638,249
120,644,251
121,649,254
122,661,256
123,661,257
124,672,259
125,669,262
126,682,264
127,692,266
128,695,268
129,697,270
130,705,273
131,717,274
132,718,276
133,728,278
134,737,281
135,741,283
136,744,285
137,755,287
138,757,289
139,768,291
140,770,293
141,777,295
142,785,298
143,792,299
144,796,302
145,806,304
146,814,306
147,818,308
148,826,310
149,835,312
150,834,314
151,849,316
152,855,319
153,859,320
154,866,322
155,872,325
156,882,327
157,887,329
158,893,332
159,901,333
160,906,335
161,916,337
162,917,340
163,927,342
164,933,344
165,937,346
166,946,348
167,949,350
168,950,352
169,967,354
170,973,356
171,975,358
172,982,361
173,991,363
174,997,365
175,1004,367
176,1014,369
177,1019,371
178,1029,373
179,1034,375
180,1045,377
181,1042,379
182,1056,382
183,1061,384
184,1069,385
185,1084,388
186,1075,390
187,1086,392
188,1091,394
189,1102,396
190,1109,398
191,1111,400
192,1123,403
193,1127,405
194,1133,407
195,1136,409
196,1143,411
197,1156,413
198,1156,415
199,1166,417
200,1174,419
201,1187,421
202,1191,423
203,1196,426
204,1198,428
205,1210,430
206,1215,432
207,1229,434
208,1228,436
209,1232,438
210,1252,440
211,1243,443
212,1262,445
213,1263,447
214,1275,449
215,1286,451
216,1298,453
217,1294,455
218,1301,457
219,1305,459
220,1310,461
221,1322,463
222,1327,465
223,1334,467
224,1341,470
225,1350,472
226,1355,474
227,1363,476
228,1369,478
229,1374,481
230,1383,482
231,1390,484
232,1398,487
233,1404,489
234,1408,491
235,1414,493
236,1422,495
237,1431,497
238,1443,499
239,1451,502
240,1460,503
241,1454,505
242,1466,507
243,1475,510
244,1479,512
245,1497,514
246,1496,516
247,1506,518
248,1522,520
249,1520,523
250,1526,525
251,1533,526
252,1544,529
253,1548,531
254,1561,533
255,1561,535
256,1571,537
257,1572,539
258,1590,542
259,1589,543
260,1598,546
261,1600,548
262,1612,549
263,1617,552
264,1621,554
265,1630,556
266,1634,558
267,1654,560
268,1653,562
269,1656,565
270,1667,566
271,1664,568
272,1686,571
273,1687,573
274,1697,575
275,1695,577
276,1715,579
277,1718,581
278,1729,583
279,1730,585
280,1748,588
281,1750,589
282,1745,592
283,1762,594
284,1768,596
285,1777,599
286,1781,600
287,1787,602
288,1797,605
289,1810,607
290,1810,608
291,1819,611
292,1828,613
293,1830,615
294,1844,617
295,1843,619
296,1854,621
297,1859,623
298,1862,625
299,1879,627
300,1891,629
301,1883,632
302,1896,634
303,1901,636
304,1915,638
305,1915,640
306,1930,642
307,1933,644
308,1946,646
309,1960,648
310,1957,651
311,1965,653
312,1969,655
313,1975,657
314,1989,659
315,1992,661
316,2000,663
317,2009,665
318,2007,667
319,2029,669
320,2035,671
321,2033,674
322,2038,676
323,2038,678
324,2060,679
325,2065,682
326,2078,684
327,2080,686
328,2094,688
329,2101,691
330,2099,692
331,2102,694
332,2115,696
333,2129,699
334,2131,701
335,2142,703
336,2147,705
337,2164,707
338,2171,710
339,2164,711
340,2176,714
341,2189,715
342,2198,717
343,2205,720
344,2217,722
345,2212,724
346,2219,726
347,2221,728
348,2232,730
349,2236,733
350,2250,734
351,2267,737
352,2276,739
353,2288,741
354,2265,743
355,2285,745
356,2305,747
357,2300,750
358,2296,751
359,2314,754
360,2329,756
361,2340,757
362,2335,760
363,2345,762
364,2352,764
365,2369,766
366,2376,769
367,2377,770
368,2394,773
369,2392,775
370,2399,776
371,2404,779
372,2420,781
373,2438,783
374,2427,786
375,2430,787
376,2450,789
377,2455,791
378,2459,793
379,2451,796
380,2490,797
