NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,1,1
3,2,2
4,3,3
5,5,4
6,6,6
7,8,7
8,10,8
9,12,9
10,14,10
11,16,11
12,18,12
13,19,13
14,22,14
15,24,15
16,26,16
17,28,17
18,30,18
19,33,19
20,35,20
21,37,21
22,39,22
23,42,23
24,44,24
25,46,26
26,49,27
27,51,28
28,54,29
29,56,30
30,58,31
31,62,32
32,64,33
33,66,34
34,69,35
35,71,36
36,74,37
37,76,38
38,79,39
39,82,40
40,85,41
41,88,42
42,89,43
43,91,45
44,95,46
45,98,47
46,101,48
47,103,49
48,106,50
49,108,51
50,111,52
51,114,53
52,116,54
53,119,55
54,122,56
55,126,57
56,128,58
57,130,59
58,133,60
59,136,61
60,140,62
61,142,64
62,145,64
63,146,65
64,150,67
65,153,68
66,156,69
67,159,70
68,162,71
69,164,72
70,168,73
71,170,74
72,173,75
73,177,76
74,179,77
75,183,78
76,185,79
77,188,80
78,192,81
79,193,82
80,197,83
81,201,84
82,203,85
83,206,87
84,209,87
85,213,89
86,215,90
87,219,91
88,221,92
89,224,93
90,226,94
91,230,95
92,233,96
93,236,97
94,240,98
95,241,99
96,248,100
97,249,101
98,252,102
99,255,103
100,257,104
101,262,105
102,264,107
103,266,108
104,270,108
105,274,110
106,277,111
107,280,112
108,283,113
109,285,114
110,288,115
111,293,116
112,296,117
113,299,118
114,301,119
115,304,120
116,307,121
117,312,122
118,315,123
119,317,124
120,321,125
121,325,126
122,329,128
123,328,128
124,335,129
125,334,131
126,339,132
127,345,133
128,346,134
129,347,135
130,351,136
131,356,137
132,357,138
133,362,139
134,369,140
135,368,141
136,371,142
137,376,143
138,376,145
139,382,145
140,382,147
141,387,147
142,390,149
143,396,149
144,397,151
145,402,152
146,405,153
147,409,154
148,411,155
149,415,156
150,417,157
151,423,158
152,426,159
153,430,160
154,432,161
155,433,162
156,440,163
157,442,164
158,445,165
159,448,166
160,452,167
161,457,168
162,457,170
163,461,170
164,464,171
165,467,173
166,471,174
167,475,175
168,475,176
169,482,177
170,484,178
171,486,179
172,489,180
173,495,181
174,498,182
175,501,183
176,504,184
177,507,185
178,513,186
179,515,187
180,522,188
181,520,189
182,526,191
183,530,191
184,533,193
185,538,194
186,536,195
187,541,196
188,544,197
189,550,198
190,554,199
191,554,200
192,560,201
193,563,202
194,565,203
195,566,204
196,571,205
197,577,206
198,576,207
199,583,208
200,586,209
201,590,210
202,594,212
203,596,213
204,597,214
205,602,215
206,604,216
207,614,217
208,613,218
209,616,219
210,623,220
211,621,221
212,628,222
213,631,223
214,636,224
215,641,225
216,646,226
217,645,227
218,649,228
219,651,230
220,654,231
221,658,231
222,664,232
223,666,234
224,670,234
225,674,236
226,677,237
227,680,238
228,683,239
229,685,240
230,689,241
231,694,242
232,697,243
233,701,244
234,703,245
235,707,246
236,709,247
237,716,248
238,720,249
239,724,251
240,728,251
241,725,253
242,733,253
243,737,255
244,739,256
245,748,257
246,747,258
247,750,259
248,757,260
249,758,261
250,761,262
251,766,263
252,770,264
253,770,265
254,777,266
255,780,267
256,784,268
257,784,269
258,793,271
259,791,271
260,798,272
261,798,273
262,804,275
263,807,275
264,811,277
265,814,278
266,814,279
267,826,280
268,826,281
269,829,282
270,832,283
271,833,284
272,840,285
273,841,286
274,847,287
275,847,288
276,858,289
277,855,290
278,860,291
279,864,292
280,869,294
281,874,294
282,871,296
283,879,297
284,882,298
285,890,299
286,888,300
287,892,301
288,899,302
289,905,303
290,906,304
291,907,305
292,912,306
293,914,307
294,919,308
295,919,309
296,923,310
297,928,311
298,929,312
299,938,313
300,945,314
301,938,316
302,950,317
303,947,318
304,955,319
305,956,320
306,966,321
307,964,322
308,971,323
309,979,324
310,975,325
311,982,326
312,984,327
313,986,328
314,990,329
315,996,330
316,997,331
317,1003,332
318,1003,333
319,1013,334
320,1013,335
321,1015,336
322,1019,338
323,1019,339
324,1028,339
325,1030,341
326,1037,342
327,1038,343
328,1048,344
329,1050,345
330,1051,346
331,1052,347
332,1056,348
333,1065,349
334,1063,350
