PrixD_Echange,NbrTotalDeCollection
1,7
2,9
3,12
4,15
5,19
6,24
7,27
8,31
9,37
10,38
11,43
12,45
13,52
14,57
15,62
16,70
17,74
18,74
19,80
20,88
21,93
22,98
23,102
24,108
25,119
26,118
27,121
28,132
29,139
30,142
31,152
32,153
33,165
34,163
35,168
36,187
37,192
38,198
39,187
40,218
41,213
42,220
43,229
44,243
45,234
46,250
47,252
48,253
49,275
50,280
51,289
52,298
53,313
54,305
55,329
56,331
57,329
58,352
59,352
60,349
61,379
62,369
63,381
64,403
65,409
66,410
67,409
68,423
69,453
70,432
71,447
72,468
73,456
74,478
75,464
76,488
