N, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,528,250
2,259,125
3,174,83
4,130,62
5,103,50
6,87,41
7,74,35
8,64,31
9,58,28
10,52,25
11,47,23
12,43,21
13,40,20
14,37,19
15,35,18
16,32,17
17,30,16
18,29,15
19,27,15
20,26,14
21,25,14
22,23,13
23,22,13
24,21,12
25,21,12
26,20,12
27,19,11
28,18,11
29,18,11
30,17,10
31,17,10
32,16,10
33,16,10
34,15,10
35,15,9
36,14,9
37,14,9
38,14,9
39,13,9
40,13,8
41,13,8
42,12,8
43,12,8
44,12,8
45,12,8
46,11,7
47,11,7
48,11,7
49,11,7
50,10,7
51,10,7
52,10,7
53,10,7
54,10,7
55,9,6
56,9,6
57,9,6
58,9,6
59,9,6
60,9,6
61,9,6
62,8,6
63,8,6
64,8,6
65,8,6
66,8,6
67,8,5
68,8,5
69,8,5
70,7,5
71,7,5
72,7,5
73,7,5
74,7,5
75,7,5
76,7,5
77,7,5
78,7,5
79,7,5
80,7,5
81,6,5
82,6,5
83,6,5
84,6,4
85,6,4
86,6,4
87,6,4
88,6,4
89,6,4
90,6,4
91,6,4
92,6,4
93,6,4
94,6,4
95,5,4
96,5,4
97,5,4
98,5,4
99,5,4
100,5,4
101,5,4
102,5,4
103,5,4
104,5,4
105,5,4
106,5,4
107,5,4
108,5,4
109,5,4
110,5,4
111,5,4
112,5,3
113,4,3
114,5,3
115,4,3
116,4,3
117,4,3
118,4,3
119,4,3
120,4,3
121,4,3
122,4,3
123,4,3
124,4,3
125,4,3
126,4,3
127,4,3
128,4,3
129,4,3
130,4,3
131,4,3
132,4,3
133,4,3
134,4,3
135,4,3
136,4,3
137,4,3
138,4,3
139,4,3
140,4,3
141,4,3
142,4,3
143,4,3
144,4,3
145,4,3
146,4,3
147,4,3
148,4,3
149,3,3
150,3,3
151,3,3
152,3,3
153,3,3
154,3,3
155,3,3
156,3,3
157,3,3
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,3,2
164,3,2
165,3,2
166,3,2
167,3,2
168,3,2
169,3,2
170,3,2
171,3,2
172,3,2
173,3,2
174,3,2
175,3,2
176,3,2
177,3,2
178,3,2
179,3,2
180,3,2
181,3,2
182,3,2
183,3,2
184,3,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,2
190,3,2
191,3,2
192,3,2
193,3,2
194,3,2
195,3,2
196,3,2
197,3,2
198,3,2
199,3,2
200,3,2
201,3,2
202,3,2
203,3,2
204,3,2
205,3,2
206,3,2
207,2,2
208,3,2
209,2,2
210,3,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,2
225,2,2
226,2,2
227,2,2
228,2,2
229,2,2
230,2,2
231,2,2
232,2,2
233,2,2
234,2,2
235,2,2
236,2,2
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,2
249,2,2
250,2,2
251,2,2
252,2,2
253,2,2
254,2,2
255,2,2
256,2,2
257,2,2
258,2,2
259,2,2
260,2,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,2,2
267,2,2
268,2,2
269,2,2
270,2,2
271,2,2
272,2,2
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,2,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,1
293,2,1
294,2,1
295,2,1
296,2,1
297,2,1
298,2,1
299,2,1
300,2,1
301,2,1
302,2,1
303,2,1
304,2,1
305,2,1
306,2,1
307,2,1
308,2,1
309,2,1
310,2,1
311,2,1
312,2,1
313,2,1
314,2,1
315,2,1
316,2,1
317,2,1
318,2,1
319,2,1
320,2,1
321,2,1
322,2,1
323,2,1
324,2,1
325,2,1
326,2,1
327,2,1
328,2,1
329,2,1
330,2,1
331,2,1
332,2,1
333,2,1
334,2,1
335,2,1
336,2,1
337,2,1
338,2,1
339,2,1
340,2,1
341,2,1
342,2,1
343,2,1
344,2,1
345,2,1
346,2,1
347,2,1
348,2,1
349,2,1
350,2,1
351,2,1
352,2,1
353,2,1
354,2,1
355,2,1
356,2,1
357,2,1
358,2,1
359,2,1
360,2,1
361,2,1
362,2,1
363,1,1
364,2,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
