NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,2,2
3,5,5
4,8,7
5,11,10
6,14,12
7,18,14
8,22,17
9,25,19
10,29,21
11,32,24
12,37,26
13,40,29
14,44,31
15,50,34
16,53,36
17,58,39
18,63,41
19,67,43
20,70,46
21,77,49
22,83,51
23,86,54
24,91,56
25,97,58
26,101,61
27,103,63
28,109,66
29,114,68
30,119,71
31,127,74
32,130,76
33,136,79
34,139,81
35,142,84
36,148,87
37,155,89
38,161,91
39,168,94
40,170,96
41,177,99
42,182,101
43,186,103
44,192,107
45,201,109
46,200,112
47,207,114
48,213,117
49,217,120
50,224,122
51,230,125
52,237,127
53,242,129
54,248,132
55,253,135
56,260,137
57,264,139
58,266,142
59,271,144
60,282,147
61,283,151
62,287,152
63,296,155
64,302,157
65,309,160
66,314,163
67,318,165
68,323,167
69,335,170
70,341,172
71,348,174
72,346,178
73,353,180
74,365,183
75,368,186
76,375,188
77,379,191
78,383,194
79,386,196
80,399,198
81,401,201
82,406,204
83,416,206
84,422,209
85,429,210
86,434,213
87,439,216
88,449,219
89,452,222
90,455,224
91,456,227
92,472,228
93,475,231
94,482,234
95,482,236
96,496,240
97,503,241
98,514,244
99,514,246
100,523,249
101,520,253
102,542,254
103,539,257
104,540,259
105,537,262
106,557,264
107,561,267
108,569,270
109,575,272
110,584,275
111,579,277
112,598,280
113,596,282
114,607,286
115,620,288
116,615,291
117,621,293
118,631,295
119,640,299
120,649,301
121,652,303
122,657,305
123,658,309
124,679,311
125,677,313
126,681,316
127,689,318
128,685,321
129,698,323
130,718,327
131,714,328
132,718,330
133,719,334
134,728,336
135,742,340
136,753,342
137,751,344
138,760,345
139,763,348
140,774,352
141,778,354
142,793,357
143,802,359
144,792,362
145,806,364
146,813,367
147,809,370
148,821,372
149,824,375
150,834,379
151,840,380
152,854,383
153,845,385
154,867,387
155,870,390
156,882,392
157,882,396
158,894,397
159,899,400
160,923,403
161,912,406
162,923,408
163,913,411
164,933,413
165,938,415
166,941,419
167,944,421
168,968,424
169,959,425
170,968,429
171,971,432
172,991,433
173,1004,437
174,993,439
175,1003,440
176,1012,443
177,1019,446
178,1033,449
179,1026,451
180,1037,454
181,1036,458
182,1049,459
183,1060,461
184,1072,465
185,1060,468
186,1080,471
187,1082,472
188,1089,475
189,1108,478
190,1102,480
191,1122,483
192,1112,484
193,1125,487
194,1127,491
195,1139,492
196,1149,494
197,1158,498
198,1153,500
199,1156,502
200,1180,503
201,1175,509
202,1199,509
203,1197,514
204,1201,515
205,1199,518
206,1205,520
207,1201,523
208,1227,525
209,1237,528
210,1246,531
211,1250,533
212,1238,536
213,1257,536
214,1260,542
215,1271,544
216,1286,547
217,1288,548
218,1323,550
219,1297,553
220,1313,556
221,1310,558
222,1325,562
223,1328,565
224,1346,567
225,1346,570
226,1346,572
227,1370,574
228,1368,576
229,1379,578
230,1390,582
231,1395,585
232,1398,587
233,1399,590
234,1406,592
235,1425,595
236,1426,598
237,1429,599
238,1452,602
239,1439,604
240,1437,608
241,1457,610
242,1461,614
243,1482,615
244,1477,618
245,1482,621
246,1505,623
247,1498,627
248,1513,628
249,1517,630
250,1525,633
251,1515,636
252,1550,637
253,1555,642
254,1558,644
255,1554,645
256,1564,648
257,1576,650
258,1582,652
259,1579,654
260,1600,657
261,1620,661
262,1629,664
263,1605,666
264,1608,668
265,1641,671
266,1646,674
267,1635,678
268,1643,677
269,1653,682
270,1667,685
271,1668,686
272,1699,690
273,1686,690
274,1717,696
275,1710,698
276,1702,700
277,1721,702
278,1738,705
279,1750,707
280,1742,711
281,1740,714
282,1743,716
283,1768,718
284,1768,720
285,1770,722
286,1791,726
287,1804,727
288,1802,729
289,1801,735
290,1821,734
291,1804,740
292,1827,740
293,1850,742
294,1844,747
295,1852,751
296,1855,751
297,1871,755
298,1871,757
299,1893,760
300,1890,760
301,1884,763
302,1873,766
303,1905,767
304,1943,771
305,1924,774
306,1937,776
307,1921,779
308,1940,780
309,1965,782
310,1955,786
311,1981,789
312,1955,792
313,1984,794
314,2008,797
315,2011,800
316,2001,804
317,2035,804
318,2019,805
319,2032,809
320,2022,813
321,2056,815
322,2047,818
323,2071,820
324,2037,824
325,2074,825
326,2070,828
327,2067,832
328,2100,832
329,2092,836
330,2100,839
331,2091,839
332,2115,845
333,2139,846
334,2136,850
335,2140,851
336,2155,853
337,2178,854
338,2140,859
339,2172,861
340,2183,864
341,2194,866
342,2207,869
343,2187,873
344,2212,874
345,2233,878
346,2206,878
347,2251,883
348,2270,882
349,2237,887
350,2270,889
351,2282,892
352,2247,894
353,2232,896
354,2300,899
355,2301,903
356,2272,903
357,2324,907
358,2307,908
359,2306,914
360,2314,916
361,2344,916
362,2346,922
363,2349,923
364,2365,924
365,2372,931
366,2362,929
367,2386,933
368,2412,934
369,2392,937
370,2409,943
371,2403,944
372,2410,945
373,2425,949
374,2419,950
375,2463,953
376,2488,955
377,2453,957
378,2466,960
379,2470,963
380,2475,967
