NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,1,1
3,1,1
4,2,1
5,2,2
6,3,2
7,4,3
8,4,3
9,5,4
10,6,4
11,7,4
12,7,5
13,8,6
14,9,6
15,10,6
16,11,7
17,12,7
18,13,8
19,14,9
20,14,9
21,15,10
22,16,10
23,17,10
24,18,11
25,19,12
26,20,12
27,21,12
28,22,13
29,22,13
30,24,14
31,25,15
32,26,15
33,27,16
34,28,16
35,29,16
36,30,17
37,31,18
38,32,18
39,33,18
40,34,19
41,36,20
42,37,20
43,37,21
44,38,21
45,39,22
46,40,22
47,41,23
48,43,23
49,44,24
50,45,24
51,46,25
52,47,25
53,49,26
54,49,26
55,50,27
56,52,27
57,52,28
58,54,28
59,55,29
60,56,29
61,56,30
62,58,30
63,60,31
64,61,31
65,62,32
66,62,32
67,64,33
68,64,33
69,66,34
70,68,34
71,69,35
72,69,35
73,71,36
74,73,36
75,73,37
76,75,37
77,75,38
78,77,38
79,79,39
80,80,39
81,81,40
82,82,40
83,84,41
84,84,41
85,85,42
86,86,43
87,87,43
88,90,43
89,90,44
90,91,44
91,91,45
92,94,46
93,95,46
94,95,47
95,97,47
96,100,48
97,101,48
98,103,49
99,103,49
100,104,49
101,106,50
102,106,51
103,108,51
104,108,51
105,108,52
106,112,53
107,112,53
108,113,54
109,115,54
110,116,55
111,116,55
112,119,56
113,119,56
114,121,57
115,122,57
116,123,58
117,124,58
118,128,59
119,127,59
120,130,60
121,131,61
122,131,61
123,132,62
124,136,62
125,136,62
126,135,63
