N, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1885,631
2,951,369
3,630,236
4,472,228
5,379,196
6,307,158
7,267,159
8,233,146
9,204,144
10,185,131
11,167,120
12,155,106
13,142,101
14,132,103
15,124,93
16,114,87
17,106,90
18,103,86
19,95,81
20,91,77
21,87,71
22,82,71
23,78,68
24,76,62
25,72,64
26,69,57
27,66,59
28,63,57
29,62,55
30,60,53
31,58,51
32,56,51
33,54,49
34,53,48
35,51,47
36,49,44
37,48,44
38,47,43
39,45,40
40,44,40
41,43,37
42,42,38
43,40,38
44,40,37
45,38,36
46,38,35
47,37,34
48,37,32
49,35,31
50,35,33
51,34,32
52,33,30
53,32,31
54,32,30
55,31,29
56,30,29
57,30,28
58,29,28
59,29,27
60,28,26
61,28,26
62,27,26
63,27,26
64,26,25
65,26,24
66,26,24
67,25,23
68,24,23
69,24,23
70,24,23
71,23,23
72,23,22
73,22,21
74,22,21
75,22,20
76,21,21
77,21,21
78,21,21
79,21,20
80,20,20
81,20,19
82,20,19
83,19,18
84,19,17
85,19,18
86,19,18
87,18,18
88,18,18
89,18,18
90,18,18
91,17,17
92,17,16
93,17,16
94,17,16
95,16,15
96,16,15
97,16,16
98,16,14
99,16,15
100,15,15
101,15,15
102,15,15
103,15,15
104,15,15
105,15,14
106,15,14
107,14,14
108,14,14
109,14,13
110,14,13
111,14,13
112,14,13
113,13,13
114,13,12
115,13,13
116,13,13
117,13,12
118,13,13
119,12,12
120,12,12
121,12,12
122,12,12
123,12,12
124,12,12
125,12,12
126,12,11
127,11,11
128,11,11
129,11,11
130,11,11
131,11,11
132,11,11
133,11,10
134,11,10
135,11,10
136,10,10
137,10,10
138,10,9
139,10,10
140,10,10
141,10,10
142,10,10
143,10,10
144,10,9
145,10,9
146,9,10
147,9,9
148,9,9
149,9,9
150,9,9
151,9,9
152,9,9
153,9,9
154,9,9
155,9,9
156,9,9
157,8,8
158,8,8
159,8,8
160,8,8
161,8,8
162,8,8
163,8,8
164,8,8
165,8,8
166,8,7
167,8,7
168,8,7
169,8,7
170,8,7
171,7,7
172,7,6
173,7,7
174,7,7
175,7,6
176,7,7
177,7,7
178,7,7
179,7,7
180,7,7
181,7,7
182,7,7
183,7,7
184,7,7
185,7,7
186,7,6
187,6,7
188,6,6
189,6,6
190,6,6
191,6,6
192,6,6
193,6,6
194,6,6
195,6,6
196,6,6
197,6,6
198,6,6
199,6,6
200,6,6
201,6,6
202,6,6
203,6,6
204,5,5
205,5,6
206,5,5
207,5,5
208,5,5
209,5,5
210,5,5
211,5,5
212,5,5
213,5,5
214,5,5
215,5,5
216,5,5
217,5,5
218,5,5
219,5,5
220,5,5
221,5,5
222,5,4
223,5,4
224,5,4
225,5,4
226,5,4
227,4,4
228,4,4
229,4,4
230,4,4
231,4,4
232,4,4
233,4,4
234,4,4
235,4,4
236,4,4
237,4,4
238,4,4
239,4,4
240,4,4
241,4,4
242,4,4
243,4,4
244,4,4
245,4,4
246,4,4
247,4,4
248,4,4
249,4,4
250,4,3
251,3,4
252,3,3
253,3,3
254,3,3
255,3,3
256,3,3
257,3,3
258,3,3
259,3,3
260,3,3
261,3,3
262,3,3
263,3,3
264,3,3
265,3,3
266,3,3
267,3,3
268,3,3
269,3,3
270,3,3
271,3,3
272,3,3
273,3,3
274,3,3
275,3,3
276,3,3
277,2,3
278,2,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
293,2,2
294,2,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,2
300,1,1
