N, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1885,631
2,947,314
3,628,209
4,471,157
5,377,125
6,308,104
7,264,89
8,233,78
9,207,70
10,185,63
11,169,57
12,154,52
13,142,48
14,131,45
15,122,41
16,113,39
17,107,37
18,102,35
19,96,33
20,92,31
21,87,29
22,83,28
23,79,27
24,75,26
25,72,25
26,69,24
27,66,23
28,64,22
29,62,21
30,60,20
31,58,20
32,56,19
33,54,18
34,53,18
35,51,18
36,49,17
37,48,16
38,47,16
39,45,16
40,44,15
41,43,15
42,42,14
43,41,14
44,40,14
45,39,13
46,38,13
47,37,13
48,36,13
49,35,12
50,35,12
51,34,12
52,33,12
53,32,11
54,32,11
55,31,11
56,31,11
57,30,10
58,29,10
59,29,10
60,28,10
61,28,10
62,27,10
63,27,9
64,26,9
65,26,9
66,25,9
67,25,9
68,25,9
69,24,9
70,24,8
71,23,8
72,23,8
73,23,8
74,22,8
75,22,8
76,21,8
77,21,8
78,21,7
79,21,7
80,20,7
81,20,7
82,20,7
83,19,7
84,19,7
85,19,7
86,18,7
87,18,7
88,18,7
89,18,6
90,17,6
91,17,6
92,17,6
93,17,6
94,17,6
95,17,6
96,16,6
97,16,6
98,16,6
99,16,6
100,15,6
101,15,6
102,15,6
103,15,6
104,15,5
105,15,5
106,14,5
107,14,5
108,14,5
109,14,5
110,14,5
111,14,5
112,13,5
113,13,5
114,13,5
115,13,5
116,13,5
117,13,5
118,13,5
119,12,5
120,12,5
121,12,5
122,12,5
123,12,5
124,12,5
125,12,4
126,12,5
127,11,4
128,11,4
129,11,4
130,11,4
131,11,4
132,11,4
133,11,4
134,11,4
135,11,4
136,10,4
137,10,4
138,10,4
139,10,4
140,10,4
141,10,4
142,10,4
143,10,4
144,10,4
145,10,4
146,10,4
147,9,4
148,9,4
149,9,4
150,9,4
151,9,4
152,9,4
153,9,4
154,9,4
155,9,4
156,9,4
157,9,3
158,8,3
159,8,3
160,8,3
161,8,3
162,8,3
163,8,3
164,8,3
165,8,3
166,8,3
167,8,3
168,8,3
169,8,3
170,8,3
171,7,3
172,7,3
173,7,3
174,7,3
175,7,3
176,7,3
177,7,3
178,7,3
179,7,3
180,7,3
181,7,3
182,7,3
183,7,3
184,7,3
185,7,3
186,7,3
187,6,3
188,6,3
189,6,3
190,6,3
191,6,3
192,6,3
193,6,3
194,6,3
195,6,3
196,6,3
197,6,3
198,6,3
199,6,3
200,6,3
201,6,3
202,6,3
203,6,3
204,6,3
205,5,3
206,5,3
207,5,3
208,5,3
209,5,3
210,5,3
211,5,3
212,5,3
213,5,2
214,5,2
215,5,3
216,5,2
217,5,2
218,5,2
219,5,2
220,5,2
221,5,2
222,5,2
223,5,2
224,5,2
225,5,2
226,4,2
227,4,2
228,4,2
229,4,2
230,4,2
231,4,2
232,4,2
233,4,2
234,4,2
235,4,2
236,4,2
237,4,2
238,4,2
239,4,2
240,4,2
241,4,2
242,4,2
243,4,2
244,4,2
245,4,2
246,4,2
247,4,2
248,4,2
249,4,2
250,4,2
251,3,2
252,3,2
253,3,2
254,3,2
255,3,2
256,3,2
257,3,2
258,3,2
259,3,2
260,3,2
261,3,2
262,3,2
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,3,2
269,3,2
270,3,2
271,3,2
272,3,2
273,3,2
274,3,2
275,3,2
276,3,2
277,2,2
278,2,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
