N, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,528,250
2,259,125
3,174,83
4,130,62
5,103,50
6,87,41
7,74,35
8,64,31
9,58,28
10,52,25
11,47,23
12,43,21
13,40,20
14,37,19
15,35,18
16,32,17
17,30,16
18,29,15
19,27,15
20,26,14
21,25,14
22,23,13
23,22,13
24,21,12
25,21,12
26,20,12
27,19,11
28,18,11
29,18,11
30,17,10
31,17,10
32,16,10
33,16,10
34,15,10
35,15,9
36,14,9
37,14,9
38,14,9
39,13,9
40,13,8
41,13,8
42,12,8
43,12,8
44,12,8
45,12,8
46,11,7
47,11,7
48,11,7
49,11,7
50,10,7
51,10,7
52,10,7
53,10,7
54,10,7
55,9,6
56,9,6
57,9,6
58,9,6
59,9,6
60,9,6
61,9,6
62,8,6
63,8,6
64,8,6
65,8,6
66,8,6
67,8,5
68,8,5
69,8,5
70,7,5
71,7,5
72,7,5
73,7,5
74,7,5
75,7,5
76,7,5
77,7,5
78,7,5
79,7,5
80,7,5
81,6,5
82,6,5
83,6,5
84,6,4
85,6,4
86,6,4
87,6,4
88,6,4
89,6,4
90,6,4
91,6,4
92,6,4
93,6,4
94,6,4
95,5,4
96,5,4
97,5,4
98,5,4
99,5,4
100,5,4
101,5,4
102,5,4
103,5,4
104,5,4
105,5,4
106,5,4
107,5,4
108,5,4
109,5,4
110,5,4
111,5,4
112,5,3
113,4,3
114,5,3
115,4,3
116,4,3
117,4,3
118,4,3
119,4,3
120,4,3
121,4,3
122,4,3
123,4,3
124,4,3
125,4,3
126,4,3
127,4,3
128,4,3
129,4,3
130,4,3
131,4,3
132,4,3
133,4,3
134,4,3
135,4,3
136,4,3
137,4,3
138,4,3
139,4,3
140,4,3
141,4,3
142,4,3
143,4,3
144,4,3
145,4,3
146,4,3
147,4,3
148,4,3
149,3,3
150,3,3
151,3,3
152,3,3
153,3,3
154,3,3
155,3,3
156,3,3
157,3,3
