NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,2,2
7,2,2
8,3,3
9,4,3
10,4,3
11,5,4
12,6,5
13,7,5
14,8,6
15,8,6
16,9,7
17,10,7
18,11,8
19,12,9
20,13,9
21,14,10
22,15,10
23,15,10
24,17,11
25,17,12
26,18,13
27,19,13
28,20,13
29,21,13
30,23,15
31,23,16
32,24,16
33,25,16
34,26,16
35,27,17
36,28,18
37,29,19
38,31,20
39,31,19
40,33,19
41,34,21
42,35,23
43,36,23
44,36,23
45,37,23
46,39,24
47,40,25
48,41,26
49,42,27
50,44,27
51,44,26
52,45,27
53,47,29
54,48,30
55,50,30
56,50,30
57,51,30
58,53,32
59,54,32
60,54,33
61,55,33
62,57,33
63,58,34
64,58,35
65,61,37
66,61,38
67,62,37
68,64,36
69,63,38
70,65,40
71,67,40
72,68,41
73,69,41
74,70,40
75,72,43
76,72,44
77,75,45
78,76,44
79,76,42
80,78,46
81,79,46
82,80,47
83,81,48
84,83,48
85,84,48
86,86,47
87,85,50
88,87,52
89,88,53
90,88,51
91,91,52
92,93,53
93,94,55
94,94,56
95,95,56
96,97,57
97,99,56
98,100,57
99,99,57
100,101,60
101,103,61
102,105,60
103,106,59
104,107,62
105,108,63
106,109,64
107,110,64
108,112,62
109,114,63
110,115,65
111,114,66
112,116,67
113,117,67
114,119,68
115,121,69
116,120,69
117,123,72
118,125,70
119,124,72
120,125,71
121,129,72
122,128,75
123,130,75
124,132,75
125,131,73
126,134,75
127,136,78
128,137,78
129,139,76
130,138,76
131,140,80
132,142,79
133,143,81
134,144,82
135,146,84
136,147,83
137,148,83
138,148,82
139,150,87
140,153,88
141,155,88
142,153,84
143,157,88
144,157,91
145,158,90
146,160,91
147,160,89
148,163,91
149,162,92
150,164,94
151,168,91
152,167,94
153,172,92
154,171,96
155,171,96
156,175,98
157,176,101
158,177,96
159,176,100
160,177,102
161,179,98
162,184,103
163,185,101
164,183,103
165,184,102
166,189,107
167,187,108
168,189,107
169,192,107
170,194,110
171,192,106
172,195,107
173,197,108
174,197,115
175,199,110
176,201,108
177,200,109
178,201,113
179,202,112
180,208,115
181,210,114
182,210,114
183,208,115
184,212,112
185,211,117
186,216,114
187,213,118
188,216,113
189,217,119
190,218,119
191,222,120
192,221,120
193,224,121
194,224,120
195,227,126
196,232,127
197,227,123
198,229,129
199,232,124
200,234,123
201,232,130
202,235,132
203,238,127
204,238,128
205,241,127
206,244,131
207,243,130
208,241,133
209,244,133
210,246,137
211,247,133
212,247,138
213,253,136
214,253,137
215,258,140
216,254,135
217,254,136
218,256,140
219,260,142
220,260,141
221,260,146
222,265,143
223,261,143
224,266,147
225,266,141
226,269,146
227,269,149
228,271,143
229,272,144
230,274,151
231,273,145
232,277,153
233,279,148
234,278,148
235,283,151
236,280,154
237,283,151
238,283,154
239,288,153
240,288,157
241,292,158
242,292,160
243,294,156
244,295,162
245,297,159
246,298,157
247,297,160
248,300,157
249,297,163
250,302,162
251,307,163
252,302,164
253,306,160
254,308,170
255,309,163
256,310,166
257,313,165
258,316,166
259,316,165
260,318,171
261,320,165
262,320,173
263,319,174
264,320,169
265,324,178
266,323,178
267,327,169
268,331,174
269,328,167
270,332,177
271,333,179
272,333,174
273,336,180
274,331,182
275,335,180
276,338,188
277,342,193
278,344,179
279,347,185
280,341,184
281,349,189
282,350,192
283,344,186
284,350,184
285,355,186
286,355,189
287,357,188
288,356,193
289,360,193
290,362,183
291,357,192
292,360,191
293,363,190
294,366,196
295,363,194
296,370,194
297,368,196
298,368,198
299,374,195
300,374,201
301,379,198
302,381,197
303,381,199
304,379,203
305,383,206
306,385,203
307,384,200
308,388,204
309,385,211
310,384,200
311,393,204
312,390,201
313,393,206
314,392,212
315,397,212
316,402,213
317,401,213
318,405,218
319,401,207
320,404,217
321,405,216
322,408,212
323,412,214
324,408,213
325,415,218
326,411,219
327,415,223
328,410,226
329,416,214
330,425,223
331,423,220
332,422,220
333,425,221
334,424,228
335,430,227
336,424,222
337,421,226
