NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
1,1,1
2,2,2
3,5,5
4,8,7
5,11,10
6,14,12
7,18,14
8,21,16
9,25,18
10,29,20
11,32,22
12,37,24
13,40,26
14,43,29
15,50,31
16,54,33
17,58,35
18,63,37
19,67,39
20,70,41
21,77,43
22,81,45
23,85,48
24,91,50
25,95,52
26,101,54
27,105,55
28,109,58
29,114,60
30,121,62
31,124,64
32,130,66
33,135,69
34,138,71
35,143,73
36,149,75
37,155,77
38,160,79
39,166,81
40,169,83
41,175,85
42,181,87
43,185,90
44,191,91
45,197,94
46,204,96
47,209,98
48,217,100
49,220,103
50,225,104
51,227,106
52,234,108
53,239,111
54,246,113
55,254,114
56,257,117
57,260,119
58,268,121
59,271,123
60,280,126
61,286,127
62,293,130
63,300,132
64,303,134
65,308,135
66,311,137
67,321,140
68,324,142
69,336,144
70,341,146
71,345,148
72,352,150
73,354,153
74,357,155
75,366,157
76,375,159
77,367,161
78,385,163
79,395,165
80,398,167
81,397,169
82,407,172
83,413,174
84,418,176
85,433,178
86,426,180
87,435,182
88,444,185
89,452,186
90,461,188
91,458,190
92,463,192
93,475,194
94,491,197
95,482,199
96,490,201
97,502,203
98,502,205
99,510,207
100,516,209
101,516,211
102,530,214
103,533,215
104,550,218
105,554,220
106,560,221
107,555,224
108,566,226
109,572,229
110,583,230
111,590,232
112,593,234
113,604,237
114,606,239
115,611,241
116,617,243
117,623,245
118,631,247
119,639,249
120,645,251
121,652,254
122,659,256
123,659,257
124,670,259
125,678,262
126,684,264
127,676,266
128,697,268
129,703,270
130,713,272
131,723,274
132,718,276
133,731,280
134,740,281
135,742,283
136,737,285
137,761,287
138,765,289
139,762,292
140,770,293
141,778,295
142,779,298
143,793,300
144,802,302
145,799,304
146,810,305
147,805,308
148,820,309
149,829,312
150,834,315
151,855,316
152,858,318
153,857,321
154,872,323
155,873,325
156,887,327
157,886,330
158,888,331
159,890,333
160,894,335
161,917,338
162,918,339
163,926,341
164,926,344
165,935,346
166,938,348
167,955,350
168,959,352
169,970,354
170,983,356
171,976,358
172,998,361
173,1002,362
174,992,364
175,1004,367
176,1009,370
177,1004,372
178,1035,373
179,1025,375
180,1041,377
181,1033,380
182,1057,381
183,1057,384
184,1071,386
185,1071,387
186,1083,390
187,1095,391
188,1086,394
189,1087,397
190,1107,399
191,1114,400
192,1126,403
193,1141,405
194,1139,406
195,1137,410
196,1163,411
197,1154,412
198,1158,414
199,1169,418
200,1189,420
201,1181,422
202,1193,423
203,1193,427
204,1212,427
205,1207,430
206,1208,432
207,1220,434
208,1239,436
209,1250,438
210,1258,440
211,1239,442
212,1278,446
213,1256,446
214,1282,449
215,1284,451
216,1283,453
217,1287,455
218,1294,456
219,1302,460
220,1286,462
221,1323,463
222,1341,465
223,1329,468
224,1353,469
225,1344,472
226,1347,473
227,1364,476
228,1349,477
229,1380,480
230,1384,482
231,1385,485
232,1386,487
233,1413,489
234,1407,491
235,1421,493
236,1419,495
237,1431,497
238,1440,499
239,1457,502
240,1445,503
241,1457,506
242,1461,509
243,1471,510
244,1463,513
245,1466,514
246,1486,516
247,1496,518
248,1509,521
249,1497,522
250,1516,525
251,1522,526
252,1539,529
253,1549,531
254,1545,533
255,1541,535
256,1574,537
257,1575,539
258,1582,542
259,1569,543
260,1604,544
261,1592,547
262,1608,549
263,1618,552
264,1611,553
265,1638,555
266,1627,558
267,1632,560
268,1651,563
269,1657,564
270,1689,567
271,1658,569
272,1681,571
273,1676,573
274,1706,575
275,1714,576
276,1708,580
277,1710,581
278,1711,583
279,1727,586
280,1746,587
281,1747,590
282,1758,592
283,1765,594
284,1777,597
285,1784,598
286,1781,600
287,1790,602
288,1787,605
289,1811,605
290,1825,608
291,1822,610
292,1827,612
293,1836,614
294,1846,618
295,1839,619
296,1841,621
297,1886,622
298,1875,626
299,1860,628
300,1883,630
301,1886,632
302,1899,635
303,1906,635
304,1934,638
305,1908,640
306,1924,642
307,1954,645
308,1939,646
309,1946,649
310,1950,650
311,2003,653
312,1967,654
313,1984,658
314,1995,658
315,1986,661
316,2014,663
317,2009,666
318,2024,668
319,2033,670
320,2058,673
321,2038,674
322,2043,675
323,2047,679
324,2043,681
325,2095,684
326,2072,685
327,2081,686
328,2093,688
329,2075,691
330,2087,693
331,2137,695
332,2114,698
333,2138,699
334,2139,701
335,2145,703
336,2145,705
337,2155,707
338,2159,708
339,2163,712
340,2185,714
341,2186,715
342,2204,718
343,2219,719
344,2223,723
345,2227,724
346,2203,727
347,2207,728
348,2254,730
349,2248,732
350,2233,735
351,2261,736
352,2265,738
353,2261,740
354,2291,742
355,2261,745
356,2315,748
357,2293,748
358,2293,752
359,2317,754
360,2311,756
361,2318,757
362,2370,760
363,2369,761
364,2345,763
365,2384,766
366,2385,769
367,2391,770
368,2398,772
369,2394,774
370,2397,776
371,2394,780
372,2413,780
373,2406,783
374,2429,784
375,2453,787
376,2456,788
377,2438,790
378,2468,792
379,2464,796
380,2489,797
